time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,phase_switched
260,C1,2,2.0,-1.0,3.0,1
270,A1,0,10.0,-1.0,11.0,1
270,B0,2,5.0,0.0,5.0,1
270,B1,0,56.0,40.0,16.0,0
270,B2,2,-1.0,-6.0,5.0,1
270,C1,0,14.0,-4.0,18.0,1
280,A1,2,-3.0,-12.0,9.0,1
280,B0,0,14.0,0.0,14.0,1
280,B1,2,76.0,25.0,51.0,1
280,B2,0,12.0,-3.0,15.0,1
280,C1,0,-5.0,-7.0,2.0,0
290,A1,0,-9.0,-12.0,3.0,1
290,B0,2,7.0,5.0,2.0,1
290,B1,2,46.0,9.0,37.0,0
290,B2,2,6.0,-5.0,11.0,1
290,C1,2,18.0,9.0,9.0,1
300,A1,2,2.0,-9.0,11.0,1
300,B0,0,7.0,-8.0,15.0,1
300,B1,2,80.0,75.0,5.0,0
300,B2,0,6.0,-11.0,17.0,1
300,C1,0,15.0,-2.0,17.0,1
310,A1,0,5.0,-1.0,6.0,1
310,B0,2,-7.0,-10.0,3.0,1
310,B1,0,129.0,86.0,43.0,1
310,B2,1,-17.0,-17.0,0.0,1
310,C1,1,-4.0,-4.0,0.0,1
320,A1,0,13.0,7.0,6.0,0
320,B0,0,17.0,-6.0,23.0,1
320,B1,2,87.0,86.0,1.0,1
320,B2,0,-7.0,-9.0,2.0,1
320,C1,1,-1.0,-1.0,0.0,1
330,A1,2,40.0,32.0,8.0,1
330,B0,2,8.0,7.0,1.0,1
330,B1,2,38.0,37.0,1.0,0
330,B2,1,-8.0,-8.0,0.0,1
330,C1,0,37.0,4.0,33.0,1
340,A1,0,63.0,25.0,38.0,1
340,B0,0,3.0,-10.0,13.0,1
340,B1,0,99.0,59.0,40.0,1
340,B2,0,-3.0,-8.0,5.0,1
340,C1,0,19.0,1.0,18.0,0
350,A1,0,66.0,17.0,49.0,0
350,B0,2,0.0,-6.0,6.0,1
350,B1,0,41.0,28.0,13.0,0
350,B2,2,8.0,-10.0,18.0,1
350,C1,0,27.0,14.0,13.0,0
360,A1,0,50.0,26.0,24.0,0
360,B0,0,33.0,1.0,32.0,1
360,B1,2,39.0,31.0,8.0,1
360,B2,0,1.0,-6.0,7.0,1
360,C1,0,45.0,35.0,10.0,0
370,A1,0,45.0,43.0,2.0,0
370,B0,0,27.0,3.0,24.0,0
370,B1,0,18.0,10.0,8.0,1
370,B2,1,-2.0,-2.0,0.0,1
370,C1,0,47.0,34.0,13.0,0
380,A1,2,71.0,41.0,30.0,1
380,B0,0,37.0,32.0,5.0,0
380,B1,1,0.0,0.0,0.0,1
380,B2,0,5.0,0.0,5.0,1
380,C1,0,60.0,38.0,22.0,0
390,A1,2,52.0,41.0,11.0,0
390,B0,0,41.0,38.0,3.0,0
390,B1,2,2.0,0.0,2.0,0
390,B2,2,-5.0,-8.0,3.0,1
390,C1,0,51.0,34.0,17.0,0
400,A1,0,72.0,59.0,13.0,1
400,B0,0,57.0,53.0,4.0,0
400,B1,2,24.0,0.0,24.0,0
400,B2,0,-14.0,-14.0,0.0,1
400,C1,2,32.0,27.0,5.0,1
410,A1,2,56.0,38.0,18.0,1
410,B0,2,49.0,36.0,13.0,1
410,B1,0,60.0,31.0,29.0,1
410,B2,1,-17.0,-17.0,0.0,1
410,C1,0,26.0,-8.0,34.0,1
420,A1,0,40.0,24.0,16.0,1
420,B0,0,40.0,27.0,13.0,1
420,B1,2,82.0,58.0,24.0,1
420,B2,1,-3.0,-3.0,0.0,1
420,C1,0,-1.0,-14.0,13.0,0
430,A1,0,20.0,14.0,6.0,0
430,B0,2,10.0,-5.0,15.0,1
430,B1,0,73.0,62.0,11.0,1
430,B2,0,34.0,-3.0,37.0,1
430,C1,2,5.0,0.0,5.0,1
440,A1,2,32.0,28.0,4.0,1
440,B0,1,1.0,1.0,0.0,1
440,B1,2,79.0,18.0,61.0,1
440,B2,2,14.0,11.0,3.0,1
440,C1,0,8.0,-11.0,19.0,1
450,A1,2,31.0,25.0,6.0,0
450,B0,0,20.0,2.0,18.0,1
450,B1,2,69.0,15.0,54.0,0
450,B2,0,16.0,12.0,4.0,1
450,C1,2,10.0,0.0,10.0,1
460,A1,0,51.0,22.0,29.0,1
460,B0,0,-4.0,-5.0,1.0,0
460,B1,2,88.0,50.0,38.0,0
460,B2,2,1.0,-8.0,9.0,1
