time,tls,prev_phase,new_phase,switch_reason
775,B1,2,0,PRESSURE
790,A1,2,0,PRESSURE
790,B1,0,2,PRESSURE
804,B0,0,0,TMAX
811,A1,0,2,PRESSURE
812,B2,0,0,TMAX
814,C1,0,0,TMAX
815,B1,2,0,PRESSURE
826,A1,2,0,PRESSURE
830,B1,0,2,PRESSURE
841,A1,0,2,PRESSURE
844,B0,0,0,TMAX
845,B1,2,0,PRESSURE
