time,avg_speed,running,halted
1,0.0,1,1
2,0.9936278539476917,2,1
3,1.868751202647885,3,1
4,2.8492642619763506,4,1
5,3.8900217235041787,5,1
6,3.979314381988453,7,2
7,4.6226690838346265,9,2
8,5.357131968643795,11,2
9,6.1397575815981895,13,2
10,6.153360815265043,16,3
11,6.844304769688236,18,2
12,7.457623580825943,20,2
13,7.621117794558817,23,3
14,8.421867517788055,25,2
15,8.401392133050043,28,3
16,8.879755371285022,30,2
17,9.391390593182923,32,2
18,9.11479780539066,36,4
19,9.466692303786438,38,2
20,9.906669628499895,40,2
21,9.663399986550491,44,4
22,10.271318023644394,45,1
23,10.515198550060319,47,2
24,10.015089581534296,52,5
25,10.112654860037434,54,2
26,10.556629582061445,55,1
27,10.077640104434476,60,6
28,10.178078197745055,62,3
29,10.239836964490083,64,3
30,9.780978841183826,69,6
31,9.671303359221751,72,5
32,9.819827565024887,73,4
33,9.74519670402856,76,7
34,9.719440259632519,80,6
35,9.917535350460359,82,3
36,10.072745997875964,84,3
37,9.615336052258325,90,8
38,9.643473693663733,91,5
39,9.957114481393495,92,5
40,9.612652127634737,98,10
41,9.925125298058452,100,6
42,10.230993614822006,99,5
43,9.7422134883746,106,13
44,9.847968919698847,108,8
45,9.881646827141022,111,10
46,9.758883983372671,116,13
47,9.79130075546057,118,10
48,9.444669282372601,123,14
49,9.492929167848919,126,11
50,9.733616460467195,127,5
51,9.665785971217,130,6
52,9.799002855713193,131,4
53,9.94104961021662,132,5
54,9.792332336217749,135,9
55,9.894285376374896,136,8
56,9.880132900945595,136,9
57,9.825172418977727,140,13
58,9.780897285543956,141,10
59,9.694689644168916,144,15
60,9.604803638438748,148,17
61,9.524628362955307,149,16
62,9.075856134284416,151,18
63,8.803289103017715,155,23
64,8.73143432672908,156,18
65,8.387278140528165,160,19
66,8.497766986564812,162,13
67,8.670835236882894,163,14
68,8.717128599841283,165,15
69,9.033033644119065,165,14
70,9.290117418126068,165,14
71,9.04255271890866,172,23
72,9.13098561907477,173,17
73,9.098764481255989,174,17
74,8.811822147135148,181,24
75,8.925570731517093,183,23
76,8.920507022460793,185,22
77,8.67971594821274,192,27
78,8.494135843731398,193,24
79,8.491145446072503,196,23
80,8.391432411587084,199,22
81,8.49257080576607,200,16
82,8.523408176282558,203,18
83,8.63488261639502,206,18
84,8.839865125737694,207,15
85,8.883431226524772,210,20
86,8.855047348257425,214,25
87,8.931254158847134,215,24
88,8.935297776075634,219,28
89,8.76897485837457,223,32
90,8.720274180234101,225,32
91,8.767986159692022,228,35
92,8.750939945301194,231,34
93,8.652609712340743,234,34
94,8.594126461065665,238,32
95,8.674627081728339,240,28
96,8.63528226248585,242,26
97,8.594064645723197,244,24
98,8.52541354104301,246,23
99,8.53804164303145,247,22
100,8.557955038515242,248,27
101,8.550882692694122,250,31
102,8.591923577943568,249,32
103,8.579572819635803,248,34
104,8.372591056884486,251,40
105,8.317641162211686,250,41
106,7.990899672510191,253,49
107,7.647991297992911,256,52
108,7.45397280944858,255,52
109,7.201386626560319,258,53
110,7.026768177431375,260,48
111,6.98058815088574,262,45
112,6.858868995288509,264,39
113,6.725460341811306,268,38
114,6.733643348804024,269,41
115,6.681056347762681,271,40
116,6.733426592633331,271,42
117,6.698621276753412,274,49
118,6.7546351497548525,274,46
119,6.724082762138359,277,58
120,6.807682965821963,279,55
121,6.7702041886107684,279,59
122,6.603935155765804,284,66
123,6.5430186253194575,287,65
124,6.575923865627839,289,56
125,6.622194342210806,293,54
126,6.556824793791573,297,57
127,6.672187890388909,296,49
128,6.708834005516241,300,53
129,6.755986745753582,304,55
130,6.759291427035014,304,53
131,6.771539795013857,308,61
132,6.67707270459759,312,67
133,6.6150305262907425,314,68
134,6.625949545780046,313,74
135,6.505210686672422,317,80
136,6.556049113228759,319,74
137,6.593852637148147,319,73
138,6.550347134715887,323,78
139,6.539414478516701,324,72
140,6.5623458258246865,325,71
141,6.434532998053425,328,70
142,6.419428351751669,329,68
143,6.391812075176958,330,67
144,6.505167731221353,333,69
145,6.6234635779672955,335,64
146,6.678074347422587,337,65
147,6.762559738016363,339,67
148,6.792047258687068,338,64
149,6.818057490915149,340,66
150,6.712765327664371,340,66
151,6.685514638957893,342,72
152,6.543554573259076,342,75
153,6.4432022071520985,344,75
154,6.270370899266455,347,75
155,6.178943893174072,351,70
156,6.01672407549595,354,70
157,5.996180105453788,357,68
158,6.0016306111843,355,65
159,5.904845236341499,360,73
160,5.9886843989984,359,70
161,6.085027937588676,358,75
162,6.083203791149335,364,81
163,6.254202655736745,364,72
164,6.29056072588062,365,84
165,6.254848390445073,367,92
166,6.24186548426242,365,92
167,6.153384810749432,368,93
168,5.971532229321589,371,89
169,5.860777037858033,371,93
170,5.679110885688476,375,98
171,5.703785444319175,375,88
172,5.745817394908649,378,86
173,5.74506772048755,380,87
174,5.828924131498349,381,79
175,5.792555743148856,378,80
176,5.861367134929581,378,83
177,5.697028079016059,380,86
178,5.659048588302911,380,85
179,5.689007667016157,381,86
180,5.752594098609715,382,90
181,5.777704851876142,384,93
182,5.686548414062158,383,98
183,5.552162773294264,384,103
184,5.407039718685829,387,103
185,5.4348756482954,390,100
186,5.516485282173528,390,98
187,5.475969117286184,391,97
188,5.4942431304543335,390,90
189,5.591561985450448,391,87
190,5.681963199338006,391,81
191,5.724155540234631,391,80
192,5.795299995474359,390,81
193,5.853821443195461,389,80
194,5.86882751414564,389,82
195,5.88488010673713,390,86
196,5.8691115156621425,391,92
197,5.871719757276693,392,92
198,5.799785139487455,394,96
199,5.7233873992358735,397,92
200,5.634692580800527,398,88
201,5.5054273646482175,401,90
202,5.473240490410659,403,88
203,5.4338375123509834,404,88
204,5.373673290310166,407,90
205,5.341246457892473,409,94
206,5.405481707754123,410,95
207,5.4083217676398085,415,105
208,5.4301925208520245,415,106
209,5.454803484301857,416,103
210,5.474511589814701,420,113
211,5.4943704841154775,422,110
212,5.545377523054917,424,118
213,5.527919400619462,429,129
214,5.501692600525721,432,128
215,5.501294077914993,432,127
216,5.406724227422931,435,126
217,5.366404897648508,437,126
218,5.355651430123416,437,116
219,5.292956108234248,438,114
220,5.259284993873223,439,110
221,5.2281312681633265,440,114
222,5.203873769269275,441,114
223,5.209548037091714,442,110
224,5.255238005452302,442,112
225,5.280730309431005,442,118
226,5.274692201989754,443,126
227,5.29661954086601,445,127
228,5.29895648331525,445,127
229,5.2396188117013525,450,128
230,5.136910646319225,455,126
231,4.986056901751869,457,124
232,4.978234959087989,461,120
233,4.844789853401765,462,121
234,4.780773910644902,462,121
235,4.684622334300676,464,120
236,4.732239444241979,460,117
237,4.735482013137633,461,118
238,4.800334566686877,464,117
239,4.885467264841458,466,122
240,4.951779259172661,468,127
241,4.986418651015044,472,129
242,4.916415906501239,471,129
243,4.862928566554237,473,129
244,4.721125336798157,478,134
245,4.710888798699525,480,132
246,4.662249608846822,478,130
247,4.7122130845548575,481,122
248,4.692076599994028,481,124
249,4.66369470320428,484,126
250,4.696928219676832,486,126
251,4.808768351404674,486,120
252,4.868486311064656,487,129
253,5.023233561784944,486,128
254,5.053612059585527,488,131
255,5.038236141458885,490,132
256,5.038191338825791,488,131
257,5.044484542943757,489,131
258,4.977087636016896,492,138
259,4.91236539480052,496,139
260,4.898523044930093,497,140
261,4.939622766975152,499,133
262,4.933408872638779,500,131
263,4.942764271931097,500,131
264,4.924440349997484,499,127
265,4.924119600019462,501,128
266,4.957392154595437,502,124
267,4.966057715489967,503,133
268,4.938684754038103,505,131
269,4.948808786343188,506,132
270,4.903637990622271,504,143
271,4.7679939391705775,509,148
272,4.765318220886529,511,147
273,4.61371507766565,512,148
274,4.5189414930790495,516,140
275,4.445915472175181,517,142
276,4.403013277585786,518,143
277,4.355052524137117,522,141
278,4.282614835599281,520,130
279,4.30406917440827,518,127
280,4.315283191678078,521,132
281,4.320935034256685,523,137
282,4.298378155283736,524,139
283,4.261580535055781,528,148
284,4.249054111007542,528,144
285,4.2630052398075335,527,151
286,4.279185270321298,528,157
287,4.251040146788848,526,157
288,4.287322696261789,528,160
289,4.237195172481817,531,164
290,4.242866762136312,532,157
291,4.211442824049269,531,156
292,4.156914771546263,534,155
293,4.157297141210296,535,142
294,4.158565705724617,534,138
295,4.137237058798844,538,135
296,4.183987491282981,542,130
297,4.232833955150685,543,135
298,4.19540107065219,546,137
299,4.219030033819716,546,133
300,4.252447458108544,545,133
301,4.202539640338185,548,142
302,4.253813499090794,547,143
303,4.154789310424205,547,143
304,4.101903580923084,551,145
305,4.00363348335559,552,140
306,3.933510363904032,551,138
307,3.8209177570119666,552,143
308,3.788968151057443,555,136
309,3.8224223587425628,555,132
310,3.851899043253275,554,131
311,3.9620762808564702,554,129
312,4.07120575202594,552,135
313,4.07554780336657,555,140
314,4.148933253471396,555,143
315,4.210783875712506,555,145
316,4.2509785966909766,557,146
317,4.215872047225613,554,147
318,4.141527749605394,557,147
319,4.037321352570733,557,149
320,3.9540974756381684,556,149
321,3.7774621893680758,555,148
322,3.754054477028581,558,139
323,3.750674985729086,557,128
324,3.7555937497099516,558,130
325,3.772257455898665,559,131
326,3.7894450761132132,560,133
327,3.7907491402771982,559,137
328,3.8429141669133644,563,139
329,3.868213389816383,564,146
330,3.8867582222004935,564,143
331,3.81677451083252,569,156
332,3.7349624033440523,570,156
333,3.709223848449572,570,162
334,3.5928070367428058,575,165
335,3.600791610146875,576,155
336,3.59093997133346,579,153
337,3.5595119029033655,582,151
338,3.533463538280275,583,150
339,3.535252197373238,583,153
340,3.5384924193345393,582,147
341,3.5899745839799078,583,152
342,3.629694996013256,587,155
343,3.7136866185903523,587,157
344,3.6960035153068467,589,165
345,3.722836462305203,592,169
346,3.730592263749169,592,172
347,3.66401194175487,593,179
348,3.6208118384663504,595,185
349,3.557161079961982,597,192
350,3.5083364157602657,599,193
351,3.524936959965962,603,196
352,3.5168399992139494,602,190
353,3.5552593378721915,604,189
354,3.5342324336887816,606,193
355,3.5735477225444217,606,189
356,3.5764381957421185,606,180
357,3.646890028517891,608,177
358,3.6857142210494427,612,183
359,3.715523467645477,613,179
360,3.7334034620723906,615,186
361,3.6484385941853965,618,192
362,3.5809116002221995,619,195
363,3.517289688298384,620,199
364,3.4803628591614997,621,206
365,3.3951512956182395,622,197
366,3.325664803625024,624,197
367,3.297163307500556,629,195
368,3.355318881344965,630,193
369,3.3637401426993616,626,183
370,3.412777848767414,628,196
371,3.4287559265829075,629,193
372,3.477082123212204,626,187
373,3.493299414236232,628,199
374,3.4890077325373166,629,198
375,3.4867397016088106,630,208
376,3.4909122168316102,630,213
377,3.4652711467022255,633,218
378,3.426441251185188,634,219
379,3.3883368962324534,639,225
380,3.352381868041076,640,216
381,3.3339518515125297,639,211
382,3.3612093329694077,640,209
383,3.379946172259717,642,213
384,3.451435915858922,643,204
385,3.5149345527267584,643,210
386,3.5765642950341765,647,218
387,3.6517566502486387,647,222
388,3.663344610887655,648,229
389,3.6087660005622437,647,232
390,3.576173163562447,647,240
391,3.5685038983308397,646,241
392,3.5955390368851656,645,252
393,3.545687669848929,645,250
394,3.5425926514373764,647,247
395,3.5361731620481978,648,249
