time,tls,prev_phase,new_phase,switch_reason
16,B1,0,2,PRESSURE
31,B1,2,0,PRESSURE
40,A1,0,0,TMAX
40,B0,0,0,TMAX
40,B2,0,0,TMAX
40,C1,0,0,TMAX
46,B1,0,2,PRESSURE
55,A1,0,2,PRESSURE
55,B2,0,2,PRESSURE
61,B1,2,0,PRESSURE
70,A1,2,0,PRESSURE
70,B2,2,0,PRESSURE
76,B1,0,2,PRESSURE
80,B0,0,0,TMAX
80,C1,0,0,TMAX
85,B2,0,2,PRESSURE
91,B1,2,0,PRESSURE
95,B0,0,2,PRESSURE
95,C1,0,2,PRESSURE
100,B2,2,0,PRESSURE
106,B1,0,2,PRESSURE
110,A1,0,0,TMAX
110,B0,2,0,PRESSURE
110,C1,2,0,PRESSURE
115,B2,0,2,PRESSURE
121,B1,2,0,PRESSURE
125,A1,0,2,PRESSURE
125,B0,0,2,PRESSURE
128,C1,0,2,PRESSURE
130,B2,2,0,PRESSURE
136,B1,0,2,PRESSURE
140,A1,2,0,PRESSURE
140,B0,2,0,PRESSURE
143,C1,2,0,PRESSURE
145,B2,0,2,PRESSURE
151,B1,2,0,PRESSURE
155,A1,0,2,PRESSURE
155,B0,0,2,PRESSURE
160,B2,2,0,PRESSURE
166,B1,0,2,PRESSURE
170,A1,2,0,PRESSURE
170,B0,2,0,PRESSURE
175,B2,0,2,PRESSURE
181,B1,2,0,PRESSURE
183,C1,0,0,TMAX
185,A1,0,2,PRESSURE
186,B0,0,2,PRESSURE
190,B2,2,0,PRESSURE
196,B1,0,2,PRESSURE
198,C1,0,2,PRESSURE
200,A1,2,0,PRESSURE
201,B0,2,0,PRESSURE
205,B2,0,2,PRESSURE
211,B1,2,0,PRESSURE
213,C1,2,0,PRESSURE
215,A1,0,2,PRESSURE
216,B0,0,2,PRESSURE
220,B2,2,0,PRESSURE
226,B1,0,2,PRESSURE
228,C1,0,2,PRESSURE
230,A1,2,0,PRESSURE
231,B0,2,0,PRESSURE
235,B2,0,2,PRESSURE
241,B1,2,0,PRESSURE
243,C1,2,0,PRESSURE
245,A1,0,2,PRESSURE
246,B0,0,2,PRESSURE
250,B2,2,0,PRESSURE
256,B1,0,2,PRESSURE
258,C1,0,2,PRESSURE
260,A1,2,0,PRESSURE
261,B0,2,0,PRESSURE
265,B2,0,2,PRESSURE
271,B1,2,0,PRESSURE
273,C1,2,0,PRESSURE
275,A1,0,2,PRESSURE
279,B0,0,2,PRESSURE
280,B2,2,0,PRESSURE
286,B1,0,2,PRESSURE
290,A1,2,0,PRESSURE
294,B0,2,0,PRESSURE
295,B2,0,2,PRESSURE
301,B1,2,0,PRESSURE
301,C1,0,2,PRESSURE
305,A1,0,2,PRESSURE
309,B0,0,2,PRESSURE
310,B2,2,0,PRESSURE
316,B1,0,2,PRESSURE
316,C1,2,0,PRESSURE
320,A1,2,0,PRESSURE
324,B0,2,0,PRESSURE
327,B2,0,2,PRESSURE
331,B1,2,0,PRESSURE
339,B0,0,2,PRESSURE
342,B2,2,0,PRESSURE
346,B1,0,2,PRESSURE
354,B0,2,0,PRESSURE
356,C1,0,0,TMAX
360,A1,0,0,TMAX
363,B1,2,0,PRESSURE
375,A1,0,2,PRESSURE
378,B1,0,2,PRESSURE
380,C1,0,2,PRESSURE
382,B2,0,0,TMAX
390,A1,2,0,PRESSURE
394,B0,0,0,TMAX
395,C1,2,0,PRESSURE
397,B2,0,2,PRESSURE
405,A1,0,2,PRESSURE
409,B0,0,2,PRESSURE
412,B2,2,0,PRESSURE
418,B1,2,2,TMAX
420,A1,2,0,PRESSURE
426,B0,2,0,PRESSURE
428,B2,0,2,PRESSURE
433,B1,2,0,PRESSURE
435,A1,0,2,PRESSURE
435,C1,0,0,TMAX
441,B0,0,2,PRESSURE
443,B2,2,0,PRESSURE
450,A1,2,0,PRESSURE
452,B1,0,2,PRESSURE
456,B0,2,0,PRESSURE
465,A1,0,2,PRESSURE
467,B1,2,0,PRESSURE
475,C1,0,0,TMAX
480,A1,2,0,PRESSURE
483,B1,0,2,PRESSURE
483,B2,0,0,TMAX
490,C1,0,2,PRESSURE
496,B0,0,0,TMAX
498,B1,2,0,PRESSURE
498,B2,0,2,PRESSURE
505,C1,2,0,PRESSURE
511,B0,0,2,PRESSURE
513,B1,0,2,PRESSURE
513,B2,2,0,PRESSURE
520,A1,0,0,TMAX
526,B0,2,0,PRESSURE
535,A1,0,2,PRESSURE
545,C1,0,0,TMAX
550,A1,2,0,PRESSURE
553,B1,2,2,TMAX
553,B2,0,0,TMAX
566,B0,0,0,TMAX
568,B1,2,0,PRESSURE
583,B1,0,2,PRESSURE
585,C1,0,0,TMAX
590,A1,0,0,TMAX
593,B2,0,0,TMAX
600,C1,0,2,PRESSURE
606,B0,0,0,TMAX
615,C1,2,0,PRESSURE
618,B1,2,0,PRESSURE
621,B0,0,2,PRESSURE
630,A1,0,0,TMAX
633,B1,0,2,PRESSURE
633,B2,0,0,TMAX
636,B0,2,0,PRESSURE
655,C1,0,0,TMAX
667,B1,2,0,PRESSURE
670,A1,0,0,TMAX
673,B2,0,0,TMAX
676,B0,0,0,TMAX
682,B1,0,2,PRESSURE
691,B0,0,2,PRESSURE
695,C1,0,0,TMAX
706,B0,2,0,PRESSURE
710,A1,0,0,TMAX
711,C1,0,2,PRESSURE
713,B2,0,0,TMAX
722,B1,2,2,TMAX
725,A1,0,2,PRESSURE
726,C1,2,0,PRESSURE
738,B0,0,2,PRESSURE
740,A1,2,0,PRESSURE
753,B0,2,0,PRESSURE
753,B2,0,0,TMAX
762,B1,2,2,TMAX
766,C1,0,0,TMAX
780,A1,0,0,TMAX
793,B0,0,0,TMAX
793,B2,0,0,TMAX
795,A1,0,2,PRESSURE
802,B1,2,2,TMAX
806,C1,0,0,TMAX
808,B0,0,2,PRESSURE
810,A1,2,0,PRESSURE
817,B1,2,0,PRESSURE
823,B0,2,0,PRESSURE
832,B1,0,2,PRESSURE
833,B2,0,0,TMAX
840,B0,0,2,PRESSURE
