time,tls,selected_phase,max_queue,avg_queue,phase_switched
407,B2,1,7,3.1666666666666665,1
407,C1,3,19,5.333333333333333,1
408,B0,3,27,6.333333333333333,1
420,A1,3,38,15,1
420,B1,3,24,9.125,1
422,B2,3,11,5.833333333333333,1
422,C1,1,11,5.333333333333333,1
423,B0,1,20,6.5,1
435,A1,1,31,13.166666666666666,1
435,B1,1,26,10.25,1
437,B2,1,9,4.666666666666667,1
437,C1,3,17,8.666666666666666,1
438,B0,3,28,7.833333333333333,1
450,A1,3,29,11.833333333333334,1
450,B1,3,26,12.875,1
452,B2,3,9,5.5,1
452,C1,1,27,11,1
453,B0,1,30,8.666666666666666,1
465,A1,1,19,10.166666666666666,1
465,B1,1,30,12.25,1
467,B2,1,6,3,1
467,C1,3,37,13.166666666666666,1
468,B0,3,24,7.5,1
480,A1,3,28,13.166666666666666,1
480,B1,3,36,14.5,1
482,B2,3,7,4.5,1
482,C1,1,38,14,1
483,B0,1,21,7.666666666666667,1
495,A1,1,29,15.666666666666666,1
495,B1,1,28,11.625,1
497,B2,1,10,4,1
497,C1,3,38,13.833333333333334,1
498,B0,3,27,9.833333333333334,1
510,A1,3,28,17.5,1
510,B1,3,23,13.375,1
512,B2,3,13,5.666666666666667,1
512,C1,1,35,11.666666666666666,1
513,B0,1,28,10.166666666666666,1
525,A1,1,33,21,1
525,B1,1,32,12.25,1
527,B2,1,14,5.833333333333333,1
527,C1,3,38,14,1
528,B0,3,35,12.166666666666666,1
540,A1,3,31,19.333333333333332,1
540,B1,3,23,10.75,1
542,B2,3,19,6.5,1
542,C1,1,38,14.5,1
543,B0,1,36,12.333333333333334,1
555,A1,1,32,14.166666666666666,1
555,B1,1,21,10.625,1
557,B2,1,17,6.333333333333333,1
557,C1,3,38,18.166666666666668,1
558,B0,3,33,12.833333333333334,1
570,A1,3,34,16.333333333333332,1
570,B1,3,22,11.25,1
572,B2,3,23,7.5,1
572,C1,1,38,18,1
573,B0,1,30,10.333333333333334,1
585,A1,1,37,15.166666666666666,1
585,B1,1,19,10.5,1
587,B2,1,26,9.5,1
587,C1,3,38,21.333333333333332,1
588,B0,3,31,15,1
600,A1,3,30,11.166666666666666,1
600,B1,3,21,13.625,1
602,B2,3,38,12.833333333333334,1
602,C1,1,38,21.333333333333332,1
603,B0,1,31,16,1
615,A1,1,27,8.833333333333334,1
615,B1,1,29,14.75,1
617,B2,1,36,12.833333333333334,1
617,C1,3,38,22.5,1
618,B0,3,37,19.5,1
630,A1,3,18,9.666666666666666,1
630,B1,3,37,17.125,1
632,B2,3,36,14.166666666666666,1
632,C1,1,33,20,1
633,B0,1,34,17.666666666666668,1
645,A1,1,25,10.166666666666666,1
645,B1,1,37,20.25,1
647,B2,1,36,13,1
647,C1,3,34,17,1
648,B0,3,31,14.5,1
660,A1,3,20,11.666666666666666,1
660,B1,3,37,22.875,1
662,B2,3,37,16,1
662,C1,1,34,15.5,1
663,B0,1,34,16,1
675,A1,1,28,13,1
675,B1,1,37,23.5,1
677,B2,1,35,18,1
677,C1,3,34,17.666666666666668,1
678,B0,3,36,13.166666666666666,1
690,A1,3,30,14.166666666666666,1
690,B1,3,37,23.75,1
692,B2,3,36,19.5,1
692,C1,1,34,17.833333333333332,1
693,B0,1,33,13.833333333333334,1
705,A1,1,38,15,1
705,B1,1,36,26.75,1
707,B2,1,36,17.166666666666668,1
707,C1,3,35,20.833333333333332,1
708,B0,3,37,14.333333333333334,1
720,A1,3,36,15.5,1
720,B1,3,37,28.625,1
722,B2,3,37,17.5,1
722,C1,1,38,21.166666666666668,1
723,B0,1,37,15.333333333333334,1
735,A1,1,38,15.5,1
735,B1,1,37,27.5,1
737,B2,1,30,15.5,1
737,C1,3,38,22.333333333333332,1
738,B0,3,34,17.666666666666668,1
750,A1,3,36,16.666666666666668,1
750,B1,3,36,27.875,1
752,B2,3,30,14.5,1
752,C1,1,37,21,1
753,B0,1,36,19.333333333333332,1
765,A1,1,38,15.666666666666666,1
765,B1,1,37,29.375,1
767,B2,1,33,13.833333333333334,1
767,C1,3,37,22.166666666666668,1
768,B0,3,29,18.666666666666668,1
780,A1,3,38,16.5,1
780,B1,3,37,27.375,1
782,B2,3,29,15.166666666666666,1
782,C1,1,37,21.166666666666668,1
783,B0,1,37,20.166666666666668,1
795,A1,1,38,15.166666666666666,1
795,B1,1,37,30.625,1
797,B2,1,35,15.833333333333334,1
797,C1,3,38,22.166666666666668,1
798,B0,3,36,20,1
810,A1,3,38,16,1
810,B1,3,37,29.875,1
812,B2,3,29,14,1
812,C1,1,37,21,1
813,B0,1,37,20.166666666666668,1
825,A1,1,38,15.5,1
825,B1,1,37,31.5,1
827,B2,1,35,15.5,1
827,C1,3,38,23,1
828,B0,3,37,22.833333333333332,1
840,A1,3,38,16.166666666666668,1
840,B1,3,37,32.125,1
842,B2,3,36,17.833333333333332,1
842,C1,1,38,21.5,1
843,B0,1,37,22,1
855,A1,1,38,14.5,1
855,B1,1,37,32.25,1
857,B2,1,35,15,1
857,C1,3,37,22.5,1
858,B0,3,37,20.833333333333332,1
870,A1,3,38,15.333333333333334,1
870,B1,3,37,32,1
872,B2,3,34,17.166666666666668,1
872,C1,1,38,21.666666666666668,1
873,B0,1,37,20.5,1
885,A1,1,38,12.166666666666666,1
885,B1,1,37,32.375,1
887,B2,1,31,14.5,1
887,C1,3,38,21.5,1
888,B0,3,37,23,1
900,A1,3,38,11.5,1
900,B1,3,37,33.25,1
902,B2,3,31,16,1
902,C1,1,38,20.333333333333332,1
903,B0,1,37,22.166666666666668,1
915,A1,1,38,10.166666666666666,1
915,B1,1,37,33.5,1
917,B2,1,35,15.5,1
917,C1,3,38,22.333333333333332,1
918,B0,3,37,23.333333333333332,1
930,A1,3,38,12.333333333333334,1
930,B1,3,37,32.375,1
932,B2,3,37,17.166666666666668,1
932,C1,1,38,21.666666666666668,1
933,B0,1,37,22.666666666666668,1
945,A1,1,38,12.333333333333334,1
945,B1,1,37,30.375,1
947,B2,1,34,14.833333333333334,1
