time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,max_age,avg_age,beta,gamma,phase_switched
167,B1,2,64.61168831168831,0.0,64.61168831168831,3,1.5,0.38961038961038963,0.1,1
167,B2,0,34.0,15.0,19.0,3,2.5,0.3,0.1,1
169,B0,2,29.400000000000002,14.4,15.000000000000002,3,2.5,0.3,0.1,1
173,C1,0,2.1000000000000005,0.0,2.1000000000000005,3,2.5,0.9,0.1,0
174,C1,0,6.757894736842104,6.757894736842104,0.0,6,5,0.7894736842105263,0.1,0
175,C1,0,15.804545454545455,11.771052631578948,4.033492822966506,9,7.5,0.5454545454545454,0.15,0
176,C1,0,21.560000000000002,17.9,3.6600000000000037,12,10,0.44,0.2,0
177,C1,0,26.046296296296298,21.402173913043477,4.644122383252821,15,12.5,0.37037037037037035,0.25,0
178,C1,0,25.4,25.4,0.0,18,15,0.4,0.3,0
179,C1,0,27.35,27.35,0.0,21,17.5,0.4,0.35,0
180,C1,2,35.5,33.5,2.0,24,20,0.3,0.4,1
182,A1,0,28.400000000000002,0.2,28.200000000000003,3,2.5,0.3,0.1,1
182,B1,0,32.81923076923077,0.0,32.81923076923077,3,1.5,0.5961538461538461,0.1,1
182,B2,2,29.741176470588236,0.0,29.741176470588236,3,2.5,0.3235294117647059,0.1,1
184,B0,0,30.5,2.2,28.3,3,2.5,0.3,0.1,1
195,C1,0,23.666666666666668,0.0,23.666666666666668,3,2.5,0.43333333333333335,0.1,1
197,A1,0,4.7375,4.699999999999998,0.03750000000000142,3,2.5,0.8125,0.1,0
197,B1,2,58.108823529411765,0.0,58.108823529411765,3,1.5,0.36764705882352944,0.1,1
197,B2,0,31.0,3.0,28.0,3,2.5,0.3,0.1,1
198,A1,0,8.0375,6.533333333333333,1.5041666666666664,6,5,0.6875,0.1,0
199,A1,0,12.35,12.35,0.0,9,7.5,0.5,0.15,0
199,B0,2,30.3,12.0,18.3,3,2.5,0.3,0.1,1
200,A1,0,15.844444444444445,13.4,2.4444444444444446,12,10,0.4444444444444444,0.2,0
201,A1,2,17.55,11.15,6.4,15,12.5,0.3,0.25,1
210,C1,0,19.8,16.8,3.0,3,2.5,0.3,0.1,0
211,C1,0,25.1,18.1,7.0,6,5,0.3,0.1,0
212,B1,0,15.53913043478261,0.0,15.53913043478261,3,1.5,0.8043478260869565,0.1,1
212,B2,2,30.185714285714287,0.0,30.185714285714287,3,2.5,0.34285714285714286,0.1,1
212,C1,0,23.85,17.85,6.0,9,7.5,0.3,0.15,0
213,C1,0,27.299999999999997,18.950000000000003,8.349999999999994,12,10,0.3,0.2,0
214,B0,0,21.8,1.0999999999999999,20.7,3,2.5,0.3,0.1,1
214,C1,0,30.35,20.702380952380953,9.647619047619049,15,12.5,0.3,0.25,0
215,C1,0,34.0,22.35238095238095,11.647619047619049,18,15,0.3,0.3,0
216,A1,0,27.5,0.8666666666666667,26.633333333333333,3,2.5,0.3,0.1,1
216,C1,0,34.1241935483871,22.588095238095235,11.536098310291862,21,17.5,0.3225806451612903,0.35,0
217,C1,0,38.56969696969697,26.054545454545455,12.515151515151516,24,20,0.30303030303030304,0.4,0
218,C1,0,38.924193548387095,27.38809523809524,11.536098310291855,27,22.5,0.3225806451612903,0.45,0
219,C1,0,41.096774193548384,29.238095238095237,11.858678955453147,30,25,0.3548387096774194,0.5,0
