time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,max_age,avg_age,phase_switched
36,B2,0,113.39999999999999,75.6,37.8,378,178.5,0
36,C1,0,112.69999999999999,74.89999999999999,37.8,378,178.5,0
37,A1,0,119.8,85.2,34.599999999999994,396,187,0
37,B0,0,118.1,78.5,39.599999999999994,396,187,0
37,B2,0,118.1,78.5,39.599999999999994,396,187,0
37,C1,0,119.39999999999999,79.5,39.89999999999999,396,187,0
38,A1,0,124.19999999999999,91.8,32.39999999999999,414,195.5,0
38,B0,0,123.49999999999999,82.1,41.39999999999999,414,195.5,0
38,B2,0,124.19999999999999,82.8,41.39999999999999,414,195.5,0
38,C1,0,124.19999999999999,83.8,40.39999999999999,414,195.5,0
39,A1,0,129.6,95.39999999999999,34.2,432,204,0
39,B0,0,129.6,86.39999999999999,43.2,432,204,0
39,B2,0,129.6,86.39999999999999,43.2,432,204,0
39,C1,0,128.2,84.99999999999999,43.2,432,204,0
40,A1,0,136.0,99.0,37.0,450,212.5,0
40,B0,0,134.3,89.3,45.000000000000014,450,212.5,0
40,B2,0,137.0,91.0,46.0,450,212.5,0
40,C1,0,132.9,88.6,44.30000000000001,450,212.5,0
46,B1,2,11.2,3.6000000000000005,7.599999999999999,26,13,1
55,A1,2,13.6,5.3999999999999995,8.2,18,8.5,1
55,B0,0,4.699999999999999,2.8999999999999995,1.7999999999999998,18,8.5,0
55,B2,2,6.5,3.3,3.2,18,8.5,1
55,C1,0,4.699999999999999,2.8999999999999995,1.7999999999999998,18,8.5,0
56,B0,0,9.399999999999999,5.799999999999999,3.5999999999999996,36,17,0
56,C1,0,9.399999999999999,6.499999999999999,2.8999999999999995,36,17,0
57,B0,0,14.799999999999999,9.399999999999999,5.4,54,25.5,0
57,C1,0,16.2,10.799999999999999,5.4,54,25.5,0
58,B0,0,20.2,12.999999999999998,7.200000000000001,72,34,0
58,C1,0,21.599999999999998,14.399999999999999,7.199999999999999,72,34,0
59,B0,0,24.9,16.9,8.0,90,42.5,0
59,C1,0,28.3,22.0,6.300000000000001,90,42.5,0
60,B0,0,30.299999999999997,20.5,9.799999999999997,108,51,0
60,C1,0,32.4,24.599999999999998,7.800000000000001,108,51,0
61,B0,0,35.699999999999996,24.1,11.599999999999994,126,59.5,0
61,B1,0,23.7,5.0,18.7,26,13,1
61,C1,0,38.8,28.2,10.599999999999998,126,59.5,0
62,B0,0,41.8,28.4,13.399999999999999,144,68,0
62,C1,0,43.8,32.099999999999994,11.700000000000003,144,68,0
63,B0,0,48.6,33.4,15.200000000000003,162,76.5,0
